model,task,h,edge,event_mode,events_n_mean,real_mean,real_std,ctrl_mean,ctrl_std,shift_mean,shift_std,rand_mean,rand_std,n
NeuralGVAR,RET_h1,1,BTCUSDT→ETHUSDT,jump,87.66666666666667,0.000737722646833087,0.003020100065476661,-0.001436426127434566,0.0019868179124585034,0.0014528053876751478,0.0028304248101467416,-0.00039224431692193524,0.0017220707024992472,45
StaticGVAR,RET_h1,1,BTCUSDT→ETHUSDT,jump,87.66666666666667,0.0,0.0,-1.8814598027698064e-12,1.2621216047779902e-11,0.0,0.0,0.0,0.0,45
NeuralGVAR,RET_h12,12,BTCUSDT→ETHUSDT,jump,87.66666666666667,-0.00034803291265335346,0.003408752754002776,4.666584847857141e-05,0.0024519360847564953,0.0007885085675095777,0.0035162273670042567,0.00048297998154238385,0.002840973293077539,45
StaticGVAR,RET_h12,12,BTCUSDT→ETHUSDT,jump,87.66666666666667,0.0,0.0,-1.7638685650966935e-13,8.738799194775989e-13,0.0,0.0,0.0,9.129132842596915e-12,45
NeuralGVAR,RET_h24,24,BTCUSDT→ETHUSDT,jump,87.33333333333333,-0.00012066734408209515,0.0018851053170311528,-0.0006102835498798717,0.0023792316706753537,0.0014858654419691044,0.0021858787689674037,0.000586713287662456,0.0010509470267709316,45
StaticGVAR,RET_h24,24,BTCUSDT→ETHUSDT,jump,87.33333333333333,0.0,0.0,4.703649506924516e-13,3.1553040119449755e-12,0.0,0.0,0.0,0.0,45
NeuralGVAR,RET_h4,4,BTCUSDT→ETHUSDT,jump,87.66666666666667,0.00014070921800642586,0.0015454019758119404,-0.0004916068288568769,0.002904237971476852,0.0031378297516817433,0.003216212021465826,0.0009112988227570895,0.002385576460956995,45
StaticGVAR,RET_h4,4,BTCUSDT→ETHUSDT,jump,87.66666666666667,0.0,0.0,0.0,4.512696499629093e-12,0.0,0.0,-4.757714284270915e-13,2.2309893973814903e-12,45
NeuralGVAR,VOL_h1,1,BTCUSDT→ETHUSDT,vol,87.66666666666667,-0.00021739619688661253,0.0009692023918931739,6.506202108640638e-05,0.000857545938309115,-0.0003253807605991218,0.0017433956323053962,-0.00010498099044424534,0.0006187443579214453,45
StaticGVAR,VOL_h1,1,BTCUSDT→ETHUSDT,vol,87.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
NeuralGVAR,VOL_h1,1,BTCUSDT→SOLUSDT,vol,87.66666666666667,-0.00027032869430614585,0.0007037153209376918,-5.246433239815613e-05,0.00030054753248165075,-0.0003468803143429492,0.0009045513994935468,-2.392000397877483e-05,0.0003238745932932286,45
StaticGVAR,VOL_h1,1,BTCUSDT→SOLUSDT,vol,87.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
NeuralGVAR,VOL_h12,12,BTCUSDT→ETHUSDT,vol,87.66666666666667,-0.0028135906812066323,0.003668974944437684,0.0017577499629826182,0.0028583036126776313,-0.004031229906993556,0.005838306647635152,0.00014958720502262522,0.002333005434790672,45
StaticGVAR,VOL_h12,12,BTCUSDT→ETHUSDT,vol,87.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.903085713708366e-12,1.2766287068581826e-11,45
NeuralGVAR,VOL_h12,12,BTCUSDT→SOLUSDT,vol,87.66666666666667,-0.0019000131520442664,0.0031324827193466476,-0.0008999428495169721,0.0025432050089191963,-0.0013997347299462288,0.003875653887993743,-0.00040847971556811697,0.0013904821417784264,45
StaticGVAR,VOL_h12,12,BTCUSDT→SOLUSDT,vol,87.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.903085713708366e-12,1.2766287068581826e-11,45
NeuralGVAR,VOL_h24,24,BTCUSDT→ETHUSDT,vol,87.33333333333333,-0.0021743049185412627,0.003167110526468899,-0.0011969904974951835,0.002436635263965334,-0.0005261063220031145,0.00563246136145098,-0.00037394774004092645,0.0019193189614182032,45
StaticGVAR,VOL_h24,24,BTCUSDT→ETHUSDT,vol,87.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
NeuralGVAR,VOL_h24,24,BTCUSDT→SOLUSDT,vol,87.33333333333333,-0.002901207895613172,0.0048303232850841005,-0.001616868660666013,0.004740356723434886,-0.0010508375761370794,0.003714429210089584,-0.0010727881046477706,0.0027696652889306205,45
StaticGVAR,VOL_h24,24,BTCUSDT→SOLUSDT,vol,87.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
NeuralGVAR,VOL_h4,4,BTCUSDT→ETHUSDT,vol,87.66666666666667,-0.0010176067956207489,0.0014310344672845735,0.0006538657951952903,0.0017505428157743087,-0.0012646088083986089,0.0029362675043943295,4.9126212575679854e-05,0.0012882367611524545,45
StaticGVAR,VOL_h4,4,BTCUSDT→ETHUSDT,vol,87.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-9.51542856854183e-13,6.383143534290914e-12,45
NeuralGVAR,VOL_h4,4,BTCUSDT→SOLUSDT,vol,87.66666666666667,-0.0008132193876210496,0.0009873216383024356,-0.00012212992044422007,0.0009069121978003442,-0.0010016283549905186,0.0014511778290081958,-3.230671225335552e-05,0.0007010531080932322,45
StaticGVAR,VOL_h4,4,BTCUSDT→SOLUSDT,vol,87.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
